concatenatedName,TropicosNameID,id,cardinality,canonicalstem,canonicalsimple,canonicalfull,authorship,year,quality
Helianthus × laetiflorus Pers.,2723605,95b81904-9ca6-531f-9120-50bdab741cef,2,Helianthus laetiflor,Helianthus laetiflorus,Helianthus × laetiflorus,Pers.,,2
Ipomoea × leucantha Jacq.,8502349,917a915e-c463-5dc1-83d7-365d3bca5325,2,Ipomoea leucanth,Ipomoea leucantha,Ipomoea × leucantha,Jacq.,,2
Ipomoea × multifida (Raf.) Shinners,8500731,c9f0d119-a468-5601-9d35-4df8c3784682,2,Ipomoea multifid,Ipomoea multifida,Ipomoea × multifida,(Raf.) Shinners,,2
Laelia × oaxacana Salazar & R. Jiménez,100447337,d7009638-0515-5d4b-906f-4d3890a1d549,2,Laelia oaxacan,Laelia oaxacana,Laelia × oaxacana,Salazar & R. Jiménez,,2
Lantana × strigocamara R.W. Sanders,100213110,bd2b6b04-b11e-5192-8605-0d63e40e335e,2,Lantana strigocamar,Lantana strigocamara,Lantana × strigocamara,R.W. Sanders,,2
Leucaena × brachycarpa Urb.,100447421,0fdf175d-a097-55c6-acd1-63e289ec0965,2,Leucaena brachycarp,Leucaena brachycarpa,Leucaena × brachycarpa,Urb.,,2
Leucaena × mixtec C.E. Hughes & S.A. Harris,50150676,1e6fc901-cb07-5e52-9130-e9c494b9d404,2,Leucaena mixtec,Leucaena mixtec,Leucaena × mixtec,C.E. Hughes & S.A. Harris,,2
Leymus × multiflorus (Gould) Barkworth & R.J. Atkins,25536911,fea2567a-2510-5431-84cd-e16039868d7c,2,Leymus multiflor,Leymus multiflorus,Leymus × multiflorus,(Gould) Barkworth & R.J. Atkins,,2
Leymus × vancouverensis (Vasey) Pilg.,25536902,463452a2-bd8c-562f-b5ec-f38f4879d3e7,2,Leymus uancouuerens,Leymus vancouverensis,Leymus × vancouverensis,(Vasey) Pilg.,,2
Lobelia × rogersii Bowden,50141495,8af9c1b6-190b-5466-8887-7e8b35504e05,2,Lobelia rogers,Lobelia rogersii,Lobelia × rogersii,Bowden,,2
Lophiaris × cicyi Cetzal & Carnevali,100477351,c0773274-9d05-5184-871b-8650efd94e91,2,Lophiaris cicy,Lophiaris cicyi,Lophiaris × cicyi,Cetzal & Carnevali,,2
Lophiaris × lindeoerstedii Cetzal & Carnevali,100477354,d0c91d88-56e2-5680-8395-81b214261fb4,2,Lophiaris lindeoersted,Lophiaris lindeoerstedii,Lophiaris × lindeoerstedii,Cetzal & Carnevali,,2
Lophiaris × lurilindenii Carnevali & Cetzal,100477359,03f6c7b6-ef05-5a55-b023-fd5821e02876,2,Lophiaris lurilinden,Lophiaris lurilindenii,Lophiaris × lurilindenii,Carnevali & Cetzal,,2
Lycopus × sherardii E.S. Steele,50142629,0f1a7908-13cb-5933-8f41-8f43aa9dc817,2,Lycopus sherard,Lycopus sherardii,Lycopus × sherardii,E.S. Steele,,2
Lysimachia × producta (A. Gray) Fernald,26400162,672b0ec9-eb21-5fdb-ab0d-cf1dc00411da,2,Lysimachia product,Lysimachia producta,Lysimachia × producta,(A. Gray) Fernald,,2
Maxillaria × yucatanensis Carnevali & R. Jiménez,50191608,e3819950-7512-59f5-93fa-1ebec0545938,2,Maxillaria yucatanens,Maxillaria yucatanensis,Maxillaria × yucatanensis,Carnevali & R. Jiménez,,2
Muhlenbergia × curtisetosa (Scribn.) Bush,50084469,09354472-fbb1-5366-99e2-0a7d5461a7fe,2,Muhlenbergia curtisetos,Muhlenbergia curtisetosa,Muhlenbergia × curtisetosa,(Scribn.) Bush,,2
Muhlenbergia × involuta Swallen,25512196,aff4f6d7-7398-5453-89b2-b32a95495b53,2,Muhlenbergia inuolut,Muhlenbergia involuta,Muhlenbergia × involuta,Swallen,,2
Nephrolepis × averyi Nauman,26602322,01c5975f-23a4-5fb8-8af4-63685df3db16,2,Nephrolepis auery,Nephrolepis averyi,Nephrolepis × averyi,Nauman,,2
Oclemena × blakei (Porter) G.L. Nesom,50203466,a5caed29-66b1-5479-b10b-8a790439b08b,2,Oclemena blake,Oclemena blakei,Oclemena × blakei,(Porter) G.L. Nesom,,2
Oncidium × oviedomotae Hágsater,100447472,ea9e345a-17d7-56d5-97fd-249ce338904e,2,Oncidium ouiedomot,Oncidium oviedomotae,Oncidium × oviedomotae,Hágsater,,2
"Opuntia × andersonii H.M. Hern., Gómez-Hin. & Bárcenas",50255233,d5f6b4b1-20b7-5ff8-83f8-5f53f76f389a,2,Opuntia anderson,Opuntia andersonii,Opuntia × andersonii,"H.M. Hern., Gómez-Hin. & Bárcenas",,2
Opuntia × columbiana Griffiths,50177004,b906a412-312b-5ef9-8caa-d62cce2a1db5,2,Opuntia columbian,Opuntia columbiana,Opuntia × columbiana,Griffiths,,2
Opuntia × curvispina Griffiths,5100060,afd633d6-b10f-53b3-919b-a0e44bdf3549,2,Opuntia curuispin,Opuntia curvispina,Opuntia × curvispina,Griffiths,,2
Opuntia × occidentalis Engelm. & J.M. Bigelow,5100945,a36762a1-bbcf-50da-90f7-6ef93d6d6685,2,Opuntia occidental,Opuntia occidentalis,Opuntia × occidentalis,Engelm. & J.M. Bigelow,,2
Opuntia × spinosibacca M.S. Anthony,5108222,3fe997e4-d03b-5aa0-803c-64907ba2cbd0,2,Opuntia spinosibacc,Opuntia spinosibacca,Opuntia × spinosibacca,M.S. Anthony,,2
Opuntia × vaseyi (J.M. Coult.) Britton & Rose (pro sp.),5100941,2b4c3e32-5ecb-576b-a3b6-5ef3feaaffa1,2,Opuntia uasey,Opuntia vaseyi,Opuntia × vaseyi,(J.M. Coult.) Britton & Rose,,4
Osmunda × ruggii R.M. Tryon,26602195,e8e63bbf-65ec-5a29-b5d6-94220e4c64ac,2,Osmunda rugg,Osmunda ruggii,Osmunda × ruggii,R.M. Tryon,,2
Parkinsonia × carterae Hawkins,50232976,53a59da6-21b4-5263-a8d2-608bb6583a44,2,Parkinsonia carter,Parkinsonia carterae,Parkinsonia × carterae,Hawkins,,2
Pectis × floridana D.J. Keil,2725056,dfc666da-2149-52b4-9de2-2d8daddca41b,2,Pectis floridan,Pectis floridana,Pectis × floridana,D.J. Keil,,2
Pellaea × oaxacana Mickel & Beitel,26621668,2ebd2c44-e20c-5189-ab11-c11c939b1782,2,Pellaea oaxacan,Pellaea oaxacana,Pellaea × oaxacana,Mickel & Beitel,,2
Phlox × glutinosa Buckley,25800394,31135745-353b-58d1-b526-8bfb4b3e715f,2,Phlox glutinos,Phlox glutinosa,Phlox × glutinosa,Buckley,,2
Phlox × procumbens Lehm.,100442288,2fd1ec1a-b3e2-5d8c-ab64-cc9d9444c504,2,Phlox procumbens,Phlox procumbens,Phlox × procumbens,Lehm.,,2
Phlox × rugelii Brand,100442290,7ad8e575-1ec4-5c49-ad12-70c562b230ed,2,Phlox rugel,Phlox rugelii,Phlox × rugelii,Brand,,2
Physalis × elliottii Kunze,29604191,0988a11c-6750-5fdc-9b8b-2dd8739cdf6f,2,Physalis elliott,Physalis elliottii,Physalis × elliottii,Kunze,,2
Pleopeltis × arreguiniae Tejero,100451509,b993e76d-68c9-5776-bedd-a9d684aa3241,2,Pleopeltis arreguini,Pleopeltis arreguiniae,Pleopeltis × arreguiniae,Tejero,,2
Pleopeltis × gracilis A. Rojas & Tejero,100451506,b83beddc-7c91-54a4-b2a4-21dffff6c438,2,Pleopeltis gracil,Pleopeltis gracilis,Pleopeltis × gracilis,A. Rojas & Tejero,,2
Pleopeltis × pueblensis A.B. Cerón & Tejero,100451507,a0fde062-e7c2-5734-8385-a3940445dbb4,2,Pleopeltis pueblens,Pleopeltis pueblensis,Pleopeltis × pueblensis,A.B. Cerón & Tejero,,2
Pleopeltis × tricholepis (Mickel & Beitel) T. Moore,100407923,6e7ca53d-3e4d-5e50-a4d6-7b1c9cbc8670,2,Pleopeltis tricholep,Pleopeltis tricholepis,Pleopeltis × tricholepis,(Mickel & Beitel) T. Moore,,2
Poa × gaspensis Fernald,25561623,45c0290a-c1ba-5063-b67b-7a1d94b8290f,2,Poa gaspens,Poa gaspensis,Poa × gaspensis,Fernald,,2
Poa × limosa Scribn. & T.A. Williams,25550310,b7a817a9-91c9-5bad-a0c0-b33cbac2e6e8,2,Poa limos,Poa limosa,Poa × limosa,Scribn. & T.A. Williams,,2
Poa × nematophylla Rydb.,25550225,972a494a-bcca-5d3e-ae43-3ba3fe516475,2,Poa nematophyll,Poa nematophylla,Poa × nematophylla,Rydb.,,2
Pteris × delchampsii W.H. Wagner & Nauman,26600313,83d20925-bdc6-5a76-a27b-4ce37481cd86,2,Pteris delchamps,Pteris delchampsii,Pteris × delchampsii,W.H. Wagner & Nauman,,2
Quercus × basaseachicensis C.H. Mull.,50040446,0cbacc6c-713d-510a-a49e-345f350c43da,2,Quercus basaseachicens,Quercus basaseachicensis,Quercus × basaseachicensis,C.H. Mull.,,2
Quercus × dysophylla Benth.,50004656,47017fdb-498e-51f0-a3cf-8e51674872ea,2,Quercus dysophyll,Quercus dysophylla,Quercus × dysophylla,Benth.,,2
Quercus × knoblochii C.H. Mull.,100250067,09225e1c-c4e2-51bd-928a-692e842a9e42,2,Quercus knobloch,Quercus knoblochii,Quercus × knoblochii,C.H. Mull.,,2
Quercus × lesueurii C.H. Mull.,100250070,3e233c67-4edb-504f-8332-df244c43a3f9,2,Quercus lesueur,Quercus lesueurii,Quercus × lesueurii,C.H. Mull.,,2
Quercus × pastorensis C.H. Mull.,50167762,2b91f87e-aa9a-52dc-8415-80b434d717b6,2,Quercus pastorens,Quercus pastorensis,Quercus × pastorensis,C.H. Mull.,,2
Salix × wrightii Andersson,28301712,8dfea48f-b47d-5960-9f90-ffdf2b07eb51,2,Salix wright,Salix wrightii,Salix × wrightii,Andersson,,2
Salvia × bernardina Parish ex Greene,17603060,9020b6ca-ae9b-5325-9987-74816d6fdfab,2,Salvia bernardin,Salvia bernardina,Salvia × bernardina,Parish ex Greene,,2
Salvia × palmeri A. Gray,17601719,b196ef43-ef48-58f5-a28e-37f8645fc713,2,Salvia palmer,Salvia palmeri,Salvia × palmeri,A. Gray,,2
Sanicula × hoffmannii (Munz) R.H. Shan & Constance,1701011,2f6ddbb7-a197-5906-a8b1-13767b14d7cd,2,Sanicula hoffmann,Sanicula hoffmannii,Sanicula × hoffmannii,(Munz) R.H. Shan & Constance,,2
Senegalia × anisophylla (S. Watson) Britton & Rose,13006599,dee65665-0b9f-5d06-95d9-384186b9bbf1,2,Senegalia anisophyll,Senegalia anisophylla,Senegalia × anisophylla,(S. Watson) Britton & Rose,,2
Senegalia × emoryana (Benth.) Britton & Rose,13006613,2c1b4aa3-3f48-5e17-b4b2-415c15bcf07c,2,Senegalia emoryan,Senegalia emoryana,Senegalia × emoryana,(Benth.) Britton & Rose,,2
"Senegalia × turneri Seigler, Ebinger & C.E. Glass",100384986,b1bf82bb-c37e-50b6-a339-4abc4069133e,2,Senegalia turner,Senegalia turneri,Senegalia × turneri,"Seigler, Ebinger & C.E. Glass",,2
"Senegalia × turneri Seigler, Ebinger & C.E. Glass",100384986,b1bf82bb-c37e-50b6-a339-4abc4069133e,2,Senegalia turner,Senegalia turneri,Senegalia × turneri,"Seigler, Ebinger & C.E. Glass",,2
"Senegalia × turneri Seigler, Ebinger & C.E. Glass",100472301,b1bf82bb-c37e-50b6-a339-4abc4069133e,2,Senegalia turner,Senegalia turneri,Senegalia × turneri,"Seigler, Ebinger & C.E. Glass",,2
"Senegalia × turneri Seigler, Ebinger & C.E. Glass",100472301,b1bf82bb-c37e-50b6-a339-4abc4069133e,2,Senegalia turner,Senegalia turneri,Senegalia × turneri,"Seigler, Ebinger & C.E. Glass",,2
Spiraea × hitchcockii W.J. Hess & Stoynoff,50214039,60d9f406-34ee-5e75-b423-93bed9630aec,2,Spiraea hitchcock,Spiraea hitchcockii,Spiraea × hitchcockii,W.J. Hess & Stoynoff,,2
Spiraea × pyramidata Greene,27801447,d2fe753b-70b7-5b3b-9a01-e551d735243e,2,Spiraea pyramidat,Spiraea pyramidata,Spiraea × pyramidata,Greene,,2
Sporobolus × eatonianus P.M. Peterson & Saarela,100408199,baa162ef-4f1d-5010-9e18-372771110f8f,2,Sporobolus eatonian,Sporobolus eatonianus,Sporobolus × eatonianus,P.M. Peterson & Saarela,,2
Symphyotrichum × amethystinum (Nutt.) G.L. Nesom,50112563,2d12f74f-428d-53f7-951e-a5ee6cc42608,2,Symphyotrichum amethystin,Symphyotrichum amethystinum,Symphyotrichum × amethystinum,(Nutt.) G.L. Nesom,,2
Tillandsia × cuchnichim R. Guess & V. Guess,100268606,daca1598-f8d8-50a6-aa86-500fde0361f8,2,Tillandsia cuchnichim,Tillandsia cuchnichim,Tillandsia × cuchnichim,R. Guess & V. Guess,,2
Tillandsia × floridana (L.B. Sm.) H. Luther,50007201,316c15a3-7be0-5c10-82bd-6c5ea3e70d0c,2,Tillandsia floridan,Tillandsia floridana,Tillandsia × floridana,(L.B. Sm.) H. Luther,,2
"Tillandsia × jaguactalensis I. Ramírez, Carnevali & F. Chia",50287262,89f06df2-622d-535b-bc8d-436f3b83a59a,2,Tillandsia iaguactalens,Tillandsia jaguactalensis,Tillandsia × jaguactalensis,"I. Ramírez, Carnevali & F. Chia",,2
Tillandsia × marceloi Takiz. & Koide,100268610,f094826e-eb29-561a-85a5-60d6813229a3,2,Tillandsia marcelo,Tillandsia marceloi,Tillandsia × marceloi,Takiz. & Koide,,2
Tillandsia × nidus Rauh & C.O. Lehm.,100268611,06780fab-d11e-574f-8775-52791582bd24,2,Tillandsia nid,Tillandsia nidus,Tillandsia × nidus,Rauh & C.O. Lehm.,,2
Tillandsia × rectifolia C.A. Wiley,50007204,58943816-ab80-5755-8f15-44f1bd89410c,2,Tillandsia rectifol,Tillandsia rectifolia,Tillandsia × rectifolia,C.A. Wiley,,2
